id,code,full_name,short_name,district,school_type_id,school_nature_id
253,173001,上海市松江一中,松江一中,松江区,CITY_MODEL,PUBLIC
86,063003,上海市风华中学,风华中学,静安区,DISTRICT_MODEL,PUBLIC
69,053003,华东师范大学附属天山学校,天山学校,长宁区,DISTRICT_MODEL,PUBLIC
179,134015,上海市宝山华曜高级中学,宝山华曜高中,宝山区,GENERAL,PRIVATE
279,185014,上海青浦区协和双语学校,青浦协和,青浦区,GENERAL,PRIVATE
70,053005,上海市建青实验学校,建青实验,长宁区,DISTRICT_MODEL,PUBLIC
292,513001,上海市崇明区民本中学,民本中学,崇明区,DISTRICT_MODEL,PUBLIC
294,514004,上海市崇明区堡镇中学,堡镇中学,崇明区,DISTRICT_MODEL,PUBLIC
208,153010,上海海洋大学附属大团高级中学,大团高中,浦东新区,DISTRICT_MODEL,PUBLIC
128,103075,上海市复旦实验中学,复旦实验,杨浦区,DISTRICT_MODEL,PUBLIC
45,014003,上海市市南中学,市南中学,黄浦区,GENERAL,PUBLIC
201,155004,上海外国语大学附属浦东外国语学校,浦外,浦东新区,GENERAL,PUBLIC
205,153007,上海市杨思高级中学,杨思高中,浦东新区,DISTRICT_MODEL,PUBLIC
177,134013,上海宝山区民办维尚高级中学,维尚高中,宝山区,GENERAL,PRIVATE
147,124011,上海市七宝中学附属鑫都实验中学,七宝鑫都,闵行区,GENERAL,PUBLIC
293,513009,上海市扬子中学,扬子中学,崇明区,DISTRICT_MODEL,PUBLIC
144,124108,上海市文来中学,文来中学,闵行区,DISTRICT_MODEL,PRIVATE
41,013003,上海市第十中学,市十中学,黄浦区,DISTRICT_MODEL,PUBLIC
202,154013,上海海事大学附属北蔡高级中学,海事附中,浦东新区,CITY_FEATURED,PUBLIC
54,044109,上海市徐汇中学,徐汇中学,徐汇区,CITY_FEATURED,PUBLIC
323,064020,上海田家炳中学,田家炳中学,静安区,DISTRICT_MODEL,PRIVATE
244,162000,上海市金山中学,金山中学,金山区,CITY_MODEL,PUBLIC
276,184004,上海市青浦区东湖中学,东湖中学,青浦区,GENERAL,PUBLIC
131,104073,上海体育大学附属中学,体院附中,杨浦区,GENERAL,PUBLIC
104,074010,上海市长征中学,长征中学,普陀区,DISTRICT_MODEL,PUBLIC
5,152006,上海师范大学附属中学,上师大附中,上海市,CITY_MODEL,PUBLIC
344,143002,上海师范大学附属嘉定高级中学,师大附属嘉定高中,嘉定区,DISTRICT_EXPERIMENTAL,PUBLIC
271,182001,上海市青浦高级中学,青浦高中,青浦区,CITY_MODEL,PUBLIC
43,013004,上海理工大学附属储能中学,理工储能,黄浦区,DISTRICT_MODEL,PUBLIC
274,184005,上海市青浦区第一中学,青浦一中,青浦区,CITY_FEATURED,PUBLIC
157,124116,上海市民办燎原双语高级中学,燎原双语,闵行区,GENERAL,PRIVATE
342,204020,上海美达菲双语高级中学,美达菲,奉贤区,GENERAL,PRIVATE
170,134004,上海市顾村中学,顾村中学,宝山区,DISTRICT_MODEL,PUBLIC
284,204001,东华大学附属奉贤致远中学,东华致远,奉贤区,DISTRICT_MODEL,PUBLIC
249,165004,上海金山区世外学校,金山世外,金山区,GENERAL,PRIVATE
81,064001,上海市华东模范中学,华东模范,静安区,CITY_MODEL,PUBLIC
213,154011,上海市陆行中学,陆行中学,浦东新区,DISTRICT_MODEL,PUBLIC
225,154039,上海市民办丰华高级中学,丰华高中,浦东新区,GENERAL,PRIVATE
